"Strain (Query)","Locus Tag (Query)","Description (Query)","Inparalog (Query)","Strain (Hit)","Locus Tag (Hit)","Description (Hit)","Inparalog (Hit)"
Pseudomonas syringae pv. tomato DC3000","PSPTO_2957","methanol dehydrogenase, NAD-dependent","","Pseudomonas aeruginosa PAO1 (Reference)","PA1146","probable iron-containing alcohol dehydrogenase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_2968","alcohol dehydrogenase","","Pseudomonas aeruginosa PAO1 (Reference)","PA1833","probable oxidoreductase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_2973","molybdate ABC transporter periplasmic molybdate-binding protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA1863","molybdate-binding periplasmic protein precursor ModA",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_2974","molybdate ABC transporter permease","","Pseudomonas aeruginosa PAO1 (Reference)","PA1862","molybdenum transport protein ModB",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_2975","molybdate ABC transporter ATP-binding protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA1861","molybdenum transport protein ModC",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_2976","DNA topoisomerase, type I","","Pseudomonas aeruginosa PAO1 (Reference)","PA2244","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3024","DNA-binding response regulator GacA","","Pseudomonas aeruginosa PAO1 (Reference)","PA2586","response regulator GacA",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3027","phospho-2-dehydro-3-deoxyheptonate aldolase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2943","phospho-2-dehydro-3-deoxyheptonate aldolase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3033","twitching motility protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0396","twitching motility protein PilU",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3034","peptidyl-prolyl cis-trans isomerase C","","Pseudomonas aeruginosa PAO1 (Reference)","PA1996","peptidyl-prolyl cis-trans isomerase C1",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3039","alcohol dehydrogenase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2491","MexS",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3040","LysR family transcriptional regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA2492","transcriptional regulator MexT",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3047","myo-inositol 2-dehydrogenase","","Pseudomonas aeruginosa PAO1 (Reference)","PA5149","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3052","major facilitator family transporter","","Pseudomonas aeruginosa PAO1 (Reference)","PA4096","probable major facilitator superfamily (MFS) transporter",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3054","short chain dehydrogenase/reductase family oxidoreductase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4098","probable short-chain dehydrogenase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3056","AraC family transcriptional regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA4184","sarcosine oxidation and utilization regulator SouR",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3076","TetR family transcriptional regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA2196","TetR family transcriptional regulator",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3086","transcriptional regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA2312","probable transcriptional regulator",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3100","aliphatic isothiocyanate resistance protein SaxF; AcrB/AcrD/AcrF family","","Pseudomonas aeruginosa PAO1 (Reference)","PA2494","Resistance-Nodulation-Cell Division (RND) multidrug efflux transporter MexF",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3103","transcriptional regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA2667","MvaU",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3106","lactoylglutathione lyase","","Pseudomonas aeruginosa PAO1 (Reference)","PA5111","lactoylglutathione lyase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3108","alkyl hydroperoxide reductase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0139","alkyl hydroperoxide reductase subunit C",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3113","UTP-glucose-1-phosphate uridylyltransferase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2023","UTP--glucose-1-phosphate uridylyltransferase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3125","glycogen synthase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2165","probable glycogen synthase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3129","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2161","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3138","3-oxoadipate enol-lactone hydrolase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0231","beta-ketoadipate enol-lactone hydrolase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3139","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA1995","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3141","undecaprenyl pyrophosphate phosphatase","","Pseudomonas aeruginosa PAO1 (Reference)","PA1959","bacitracin resistance protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3144","sigma-54 dependent transcriptional regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA1945","probable transcriptional regulator",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3146","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA2319","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3146","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA2690","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3148","magnesium chelatase, subunit ChII","","Pseudomonas aeruginosa PAO1 (Reference)","PA2942","probable magnesium chelatase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3149","cobaltochelatase subunit CobN","","Pseudomonas aeruginosa PAO1 (Reference)","PA2944","cobalamin biosynthetic protein CobN",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3150","cobalamin synthesis protein/P47K family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2945","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3154","precorrin-4 C(11)-methyltransferase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2948","precorrin-3 methylase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3174","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA1323","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3179","PqiB family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4689","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3195","sensor histidine kinase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2771","diguanylate cyclase with a self-blocked I-site, Dcsbis",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3230","hemolysin activator protein, HlyB family","","Pseudomonas aeruginosa PAO1 (Reference)","PA2463","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3231","LysR family transcriptional regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA0816","probable transcriptional regulator",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3264","alpha/beta fold family hydrolase","","Pseudomonas aeruginosa PAO1 (Reference)","PA3053","probable hydrolytic enzyme",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3280","glycerate kinase","","Pseudomonas aeruginosa PAO1 (Reference)","PA1052","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3284","major facilitator family transporter","","Pseudomonas aeruginosa PAO1 (Reference)","PA2214","putative L-lyxonate transporter",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3304","major facilitator family transporter","","Pseudomonas aeruginosa PAO1 (Reference)","PA1352","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3322","LysR family transcriptional regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA2054","transcriptional regulator CynR",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3323","aldehyde dehydrogenase family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2217","probable aldehyde dehydrogenase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3325","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2690 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3325","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3434 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3325","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA3434","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3325","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3993 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3325","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA4797","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3325","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA3993","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3325","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA4797 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3325","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2319 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3329","ABC transporter substrate-binding protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA1247","alkaline protease secretion protein AprE",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3332","alkaline metalloendoprotease","","Pseudomonas aeruginosa PAO1 (Reference)","PA1249","alkaline metalloproteinase precursor",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3334","LysR family transcriptional regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA1328","probable transcriptional regulator",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3340","DsrH family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2607","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3342","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2609","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3344","siroheme synthase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2611","siroheme synthase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3347","recombination factor protein RarA","","Pseudomonas aeruginosa PAO1 (Reference)","PA2613","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3355","cold shock domain family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2622","cold-shock protein CspD",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3357","mutT/nudix family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2625","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3358","tRNA (5-methyl aminomethyl-2-thiouridylate)-methyltransferase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2626","tRNA methyltransferase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3359","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2627","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3360","adenylosuccinate lyase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2629","adenylosuccinate lyase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3361","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2630","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3362","GNAT family acetyltransferase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2631","probable acetyl transferase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3363","type II and III secretion system family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2633","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3365","NADH:ubiquinone oxidoreductase subunit A","","Pseudomonas aeruginosa PAO1 (Reference)","PA2637","NADH dehydrogenase I chain A",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3366","NADH dehydrogenase subunit B","","Pseudomonas aeruginosa PAO1 (Reference)","PA2638","NADH dehydrogenase I chain B",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3372","NADH dehydrogenase subunit I","","Pseudomonas aeruginosa PAO1 (Reference)","PA2644","NADH Dehydrogenase I chain I",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3373","NADH:ubiquinone oxidoreductase subunit J","","Pseudomonas aeruginosa PAO1 (Reference)","PA2645","NADH dehydrogenase I chain J",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3379","methyl-accepting chemotaxis protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2652","methyl-accepting chemotaxis protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3381","DNA-binding response regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA2657","two-component response regulator CarR",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3383","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2659","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3392","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0626","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3393","tail tape measure protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0625","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3398","tail fiber protein H","","Pseudomonas aeruginosa PAO1 (Reference)","PA0620","probable bacteriophage protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3399","tail protein I","","Pseudomonas aeruginosa PAO1 (Reference)","PA0619","probable bacteriophage protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3401","baseplate assembly protein W","","Pseudomonas aeruginosa PAO1 (Reference)","PA0617","probable bacteriophage protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3417","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0613","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3425","transcriptional regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA0610","transcriptional regulator PrtN",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3438","cysteine desulfurase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2062","probable pyridoxal-phosphate dependent enzyme",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3451","FMN reductase, NADH-dependent","","Pseudomonas aeruginosa PAO1 (Reference)","PA3446","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3453","lipoprotein","","Pseudomonas aeruginosa PAO1 (Reference)","PA1970","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3454","LysR family transcriptional regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA1998","transcriptional regulator, DchR",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3456","3-oxoacid CoA-transferase, subunit B family","","Pseudomonas aeruginosa PAO1 (Reference)","PA2000","dehydrocarnitine CoA transferase, DchB",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3457","short-chain fatty acid transporter","","Pseudomonas aeruginosa PAO1 (Reference)","PA2002","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3459","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2268","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3461","glycerophosphoryl diester phosphodiesterase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2352","probable glycerophosphoryl diester phosphodiesterase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3464","ATP-dependent DNA ligase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2138","Multifunctional non-homologous end joining protein LigD",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3465","KU domain protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2150","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3466","alkanesulfonate monooxygenase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2356","methanesulfonate sulfonatase MsuD",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3472","potassium efflux system protein PhaC","","Pseudomonas aeruginosa PAO1 (Reference)","PA1055","ShaB",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3473","monovalent cation/proton antiporter, MnhD/PhaD subunit","","Pseudomonas aeruginosa PAO1 (Reference)","PA1056","ShaC",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3480","methyl-accepting chemotaxis protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4290","probable chemotaxis transducer",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3500","iolC protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2261","probable 2-ketogluconate kinase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3502","membrane protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2154","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3503","cardiolipin synthetase 2","","Pseudomonas aeruginosa PAO1 (Reference)","PA2155","probable phospholipase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3506","phosphorylase, family 2","","Pseudomonas aeruginosa PAO1 (Reference)","PA3004","5-methylthioadenosine phosphorylase MtnP",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3507","beta-hexosaminidase","","Pseudomonas aeruginosa PAO1 (Reference)","PA3005","beta-N-acetyl-D-glucosaminidase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3511","cell division inhibitor","","Pseudomonas aeruginosa PAO1 (Reference)","PA3008","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3512","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3009","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3513","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3010","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3514","DNA topoisomerase I","","Pseudomonas aeruginosa PAO1 (Reference)","PA3011","DNA topoisomerase I",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3516","3-ketoacyl-CoA thiolase","","Pseudomonas aeruginosa PAO1 (Reference)","PA3013","fatty-acid oxidation complex beta-subunit",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3517","multifunctional fatty acid oxidation complex subunit alpha","","Pseudomonas aeruginosa PAO1 (Reference)","PA3014","fatty-acid oxidation complex alpha-subunit",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3520","universal stress protein family","","Pseudomonas aeruginosa PAO1 (Reference)","PA3017","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3523","MOSC domain-containing protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3022","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3527","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3023","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3529","capsular polysaccharide biosynthesis protein PslA","","Pseudomonas aeruginosa PAO1 (Reference)","PA2231","PslA",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3530","mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase PslB","","Pseudomonas aeruginosa PAO1 (Reference)","PA2232","PslB",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3533","glycosyl transferase, group 1 family protein PslF","","Pseudomonas aeruginosa PAO1 (Reference)","PA2236","PslF",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3534","glycosyl hydrolase, family 5 PslG","","Pseudomonas aeruginosa PAO1 (Reference)","PA2237","PslG",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3536","glycosyl transferase, group 1 family protein PslI","","Pseudomonas aeruginosa PAO1 (Reference)","PA2239","PslI",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3537","membrane protein PslJ","","Pseudomonas aeruginosa PAO1 (Reference)","PA2240","PslJ",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3549","transcriptional regulator AefR","","Pseudomonas aeruginosa PAO1 (Reference)","PA3034","probable transcriptional regulator",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3550","fumarylacetoacetase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2008","fumarylacetoacetase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3552","IclR family transcriptional regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA2010","probable transcriptional regulator",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3553","4-hydroxyphenylpyruvate dioxygenase","","Pseudomonas aeruginosa PAO1 (Reference)","PA0865","4-hydroxyphenylpyruvate dioxygenase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3554","maleylacetoacetate isomerase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2007","maleylacetoacetate isomerase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3556","glycolate oxidase FAD binding subunit","","Pseudomonas aeruginosa PAO1 (Reference)","PA5354","glycolate oxidase subunit GlcE",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3558","glcG protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA5352","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3564","gluconokinase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2321","GntK",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3565","gluconate permease","","Pseudomonas aeruginosa PAO1 (Reference)","PA2322","GntP",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3574","TonB-dependent siderophore receptor","","Pseudomonas aeruginosa PAO1 (Reference)","PA0151","probable TonB-dependent receptor",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3584","sensory box histidine kinase/response regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA2177","probable sensor/response regulator hybrid",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3586","LysR family transcriptional regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA2879","probable transcriptional regulator",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3592","ATPase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2353","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3594","beta-lactamase","","Pseudomonas aeruginosa PAO1 (Reference)","PA4110","beta-lactamase precursor",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3595","Ada regulatory protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2118","O6-methylguanine-DNA methyltransferase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3600","oxidoreductase, molybdopterin-binding protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4882","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3601","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4883","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3625","sulfate ABC transporter substrate-binding protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA1493","sulfate-binding protein of ABC transporter",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3628","cytochrome c-type biogenesis protein CycL","","Pseudomonas aeruginosa PAO1 (Reference)","PA1482","cytochrome C-type biogenesis protein CcmH",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3629","thiol:disulfide interchange protein DsbE","","Pseudomonas aeruginosa PAO1 (Reference)","PA1481","cytochrome C biogenesis protein CcmG",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3630","cytochrome c-type biogenesis protein CcmF","","Pseudomonas aeruginosa PAO1 (Reference)","PA1480","cytochrome C-type biogenesis protein CcmF",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3631","cytochrome c-type biogenesis protein CcmE","","Pseudomonas aeruginosa PAO1 (Reference)","PA1479","cytochrome C-type biogenesis protein CcmE",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3632","heme exporter protein CcmD","","Pseudomonas aeruginosa PAO1 (Reference)","PA1478","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3633","heme exporter protein CcmC","","Pseudomonas aeruginosa PAO1 (Reference)","PA1477","heme exporter protein CcmC",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3634","heme exporter protein CcmB","","Pseudomonas aeruginosa PAO1 (Reference)","PA1476","heme exporter protein CcmB",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3635","heme exporter protein CcmA","","Pseudomonas aeruginosa PAO1 (Reference)","PA1475","heme exporter protein CcmA",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3636","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA1474","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3638","recombination protein RecR","","Pseudomonas aeruginosa PAO1 (Reference)","PA1534","recombination protein RecR",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3641","endoribonuclease L-PSP family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4173","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3645","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA1533","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3646","DNA polymerase III subunits gamma and tau","","Pseudomonas aeruginosa PAO1 (Reference)","PA1532","DNA polymerase subunits gamma and tau",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3660","xanthine dehydrogenase, N-terminal subunit","","Pseudomonas aeruginosa PAO1 (Reference)","PA1524","xanthine dehydrogenase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3661","xanthine dehydrogenase, C-terminal subunit","","Pseudomonas aeruginosa PAO1 (Reference)","PA1523","xanthine dehydrogenase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3664","GntR family transcriptional regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA1520","probable transcriptional regulator",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3665","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA1518","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3666","polysaccharide deacetylase family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA1517","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3668","allantoicase","","Pseudomonas aeruginosa PAO1 (Reference)","PA1515","allantoicase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3669","ureidoglycolate hydrolase","","Pseudomonas aeruginosa PAO1 (Reference)","PA1514","ureidoglycolate hydrolaseYbbT",""
